# id,institution,course_code,transfer_course_code,restriction,db_reference_no

262,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3731,COMP S&N: Computer Science Track Course,GD:B+,B00101a
263,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2248 + CCN3144,MECH 2520: Design and Manufacturing I,No Restriction,B06621a
264,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2248 + CCN2269,MECH 2520: Design and Manufacturing I,GD:B+,B06621
265,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2248 + CCN3128,IELM 2150: Product Design (Aka: Product Design and Communication ),No Restriction,B11388
266,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3134,ECON 2152: Engineering Economics and Finance,GD:B+,B02601b
267,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3732 / CCN2269,COMP G&M: Computer Science Track Course,GD:B+,B00102a
268,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3305,COMP S&D: Computer Science Track Course,GD:B+,B00089a
269,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3311 / CCN2249,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B00227
270,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2249,MECH 2410: Engineering Materials I,GD:B+,B02585
271,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2251,MECH 2020: Statics and Dynamics,GD:B+,B02584
272,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3135,MECH 2310: Thermodynamics,GD:B+,B01455
273,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2252,CENG 1700: Introduction to Environmental Engineering,No Restriction,B06766a
274,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2101,ACCT 2010: Principles of Accounting I,GD:B+,B01095b
275,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2113,FINA 2303: Financial Management,GD:B+,B03490
276,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2114,FINA 1303: Introduction to Financial Markets,GD:B+,B05540
277,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3430,COMP A&T: Computer Science Track Course,GD:B+,B00095a
278,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3136,CHEM 3000LEVEL: 3000-level Course in Chemistry,No Restriction,B02746
279,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2014,LIFS 1020: Biology of Human Health,GD:C,B02845c
280,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1106 + CCN1109,LIFS 1901: General Biology I,No Restriction,B00637c
281,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1012,LIFS 1000LEVEL: 1000-level Course in Life Science,GD:C,B05543a
282,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3201,COMP 3311: Database Management Systems,GD:B+,B00071a
283,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1101,MGMT 3110: Human Resources Management,GD:B+,B11014
284,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2117,ISOM 3760: Logistics Management,GD:B+,B02221a
285,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2117,COMP A&T: Computer Science Track Course,GD:B+,B02221
286,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2283,ISOM 2700: Operations Management,GD:B+,B03493
287,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2015,SOSC 2740: Gender and Society,GD:B-,B02844
288,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2231,LIFS 2210: Biochemistry I,No Restriction,B02565
289,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1109,LIFS 1901: General Biology I,No Restriction,B00637b
290,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1110,CHEM 1010: General Chemistry IA CHEM 1050: Laboratory for General Chemistry I,No Restriction,B00636b
291,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1111,CHEM 1030: General Chemistry II CHEM 1055: Laboratory for General Chemistry II,No Restriction,B02745
292,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2232 / CC3434,LIFS 3060: Microbiology,No Restriction,B02566
293,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2205,PHYS 1112: General Physics I with Calculus,GD:B,B00043c
294,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1015,LIFS 1000LEVEL: 1000-level Course in Life Science,No Restriction,B02843
295,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2417 + CC2418,LIFS 1902: General Biology II,No Restriction,B00492a
296,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2233 + CCN2234,LIFS 3040: Animal Physiology,No Restriction,B02776
297,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3203,COMP S&D: Computer Science Track Course,GD:B+,B00082a
298,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3735 / CCN3138,LIFS 1030: Environmental Science,No Restriction,B00432
299,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3208,COMP 4021: Internet Computing,GD:B+,B00074a
300,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3209,COMP S&N: Computer Science Track Course,GD:B+,B00084a
301,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2017,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B05541b
302,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2002,SOSC 1440: Introduction to Economics,GD:B,B01098f
303,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2270,COMP S&N: Computer Science Track Course,GD:B+,B02228
304,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2271,COMP G&M: Computer Science Track Course,GD:B+,B02229
305,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2004,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B02871
306,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1016,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B06676
307,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2127,COMP A&T: Computer Science Track Course,GD:B+,B02220
308,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1048 + CCN2250 + CCN2269,MATH 2350: Applied Linear Algebra and Differential Equations,No Restriction,B01458c
309,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2129,ECON 2123: Macroeconomics,GD:B+,B03489
310,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2003,MARK 2120: Marketing Management,GD:B+,B01099b
311,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3487,"LIFS 1080: Disease, Culture and Technology",No Restriction,B02872
312,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2021,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B14095
313,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1050,IELM 2510: Engineering Probability and Statistics,No Restriction,B00067a
314,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1050,SOSC 1100: Elementary Statistics for Social Research,GD:B+,B02678a
315,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2019 / CCN1017,SOSC 1960: Discovering Mind and Behavior,GD:B,B00281c
316,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1018,SOSC 1850: Understanding Society,GD:B+,B05539
317,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3135,COMP A&T: Computer Science Track Course,GD:B+,B00080a
318,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2011/ CCN1019,LANG 1210: Japanese Language and Related Culture (Aka: Japanese Language and Related Culture I ),No Restriction,B00271
319,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2023,CIVL 4000LEVEL: 4000-level Course in Civil and Environmental Engineering,No Restriction,B06832a
320,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3313,COMP A&T: Computer Science Track Course,GD:B+,B00091a
321,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2272,COMP S&N: Computer Science Track Course,GD:B+,B02223
322,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3456,COMP S&D: Computer Science Track Course,GD:B+,B00096a
323,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2004,MGMT 1110: Introduction to Management,GD:B+,B01094b
324,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2026,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B,B00228a
325,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3736,COMP 4431: Multimedia Computing,GD:B+,B00075a
326,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2046,HUMA 1103: Understanding Music,GD:B+,B06711
327,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2160,MGMT 3140: Negotiation,GD:B+,B05533
328,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2242,COMP 1022P: Introduction to Computing with Java,GD:B+,B06683
329,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3458 / CCN3139,COMP A&T: Computer Science Track Course,GD:B+,B00097a
330,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3319 / CCN2274,CHEM 2110: Organic Chemistry I CHEM 2150: Organic Chemistry Laboratory,GD:B+,B00441b
331,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2005,MGMT 2110: Organizational Behavior,GD:B+,B03494
332,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1021,FINA 1203: Personal Finance,GD:B+,B02602a
333,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3318 / CCN2275,CHEM 2450: Physical Chemistry Laboratory,GD:B,B00485
334,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1049,PHYS 1112: General Physics I with Calculus,GD:B,B00043d
335,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1051,PHYS 1114: General Physics II,GD:B,B00043b
336,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2201,COMP 1022P: Introduction to Computing with Java,GD:B+,B00069a
337,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2286+CCN2287,MATH 2411: Applied Statistics,No Restriction,B11004
338,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2029,IELM 4110: Engineers in Society,No Restriction,B00237a
339,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3206 / CCN3140,COMP S&D: Computer Science Track Course,GD:B+,B00442a
340,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3308 / CCN3141,IELM 3270: Quality Engineering,No Restriction,B00090a
341,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3308 / CCN3141,COMP S&D: Computer Science Track Course,GD:B+,B00090b
342,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3142,COMP A&T: Computer Science Track Course,GD:B+,B02225
343,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2030,SOSC 2000LEVEL: 2000-level Course in Social Science,GD:B+,B06712a
344,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2133,MGMT 1000LEVEL: 1000-level Course in Management,GD:B+,B11015
345,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3475 / CCN2276,COMP A&T: Computer Science Track Course,GD:B+,B00098a
346,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2031,ISOM 2500: Business Statistics,GD:B+,B03492
347,"Hong Kong Community College, The Hong Kong Polytechnic University",CC2425+ CC3476 / CCN2243 + CCN2244,MATH 2411: Applied Statistics,No Restriction,B00040a
348,"Hong Kong Community College, The Hong Kong Polytechnic University",CC3477 / CCN2277,COMP S&D: Computer Science Track Course,GD:B+,B00099a
349,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN1025,SOSC 1000LEVEL: 1000-level Course in Social Science,GD:B+,B06619a
350,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2048,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B,B11020
351,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2033,HUMA 1000LEVEL: 1000-level Course in Humanities,GD:B+,B05542b
352,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3129,MECH 2310: Thermodynamics,GD:B+,B02698a
353,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN3129,CENG 2210: Chemical Engineering Thermodynamics,No Restriction,B02698c
354,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2134,"ISOM 2000OM: 2000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B06437
355,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2135,MGMT 1000LEVEL: 1000-level Course in Management,GD:B+,B11016
356,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2006,SOSC 2290: Understanding Globalization,GD:B+,B06660
357,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2035,HUMA 2921: Ethical Theories and Contemporary Issues,GD:B+,B06623
358,"Hong Kong Community College, The Hong Kong Polytechnic University",CCN2279,COMP G&M: Computer Science Track Course,GD:B+,B02217
359,Hong Kong Institute of Vocational Education,ENG4200+MEC3125+MEC4103,MATH 1020: Accelerated Calculus,No Restriction,B02504c
360,Hong Kong Institute of Vocational Education,MEC4407,MECH 1907: Introduction to Aerospace Engineering,GD:B+,B02705a
361,Hong Kong Institute of Vocational Education,CON4411,CIVL 4470: Air Quality Control and Management,No Restriction,B07443
362,Hong Kong Institute of Vocational Education,MEC4400,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B02633
363,Hong Kong Institute of Vocational Education,MEC4400+MEC4403,ELEC 2420: Basic Electronics,No Restriction,B11351
364,Hong Kong Institute of Vocational Education,ENG3734,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B00372b
365,Hong Kong Institute of Vocational Education,MEC3400,MECH 3000LEVEL: 3000-level Course in Mechanical Engineering,GD:B+,B07004a
366,Hong Kong Institute of Vocational Education,MEC3400+MEC4406,PHYS 1112: General Physics I with Calculus,No Restriction,B11737
367,Hong Kong Institute of Vocational Education,MEC3400 + MEC4407,MECH 3640: Aerodynamics (Previous Code: MECH4610),GD:B+,B11352
368,Hong Kong Institute of Vocational Education,MEC3400 + ITE4901,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B07650
369,Hong Kong Institute of Vocational Education,ASC3443,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:75,B00559d
370,Hong Kong Institute of Vocational Education,CEH3401,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:75,B00658a
371,Hong Kong Institute of Vocational Education,SAS4305,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:75,B00559c
372,Hong Kong Institute of Vocational Education,SAS4101,CHEM 3000LEVEL: 3000-level Course in Chemistry,GD:B-,B11211
373,Hong Kong Institute of Vocational Education,SAS4210+SAS4203,LIFS 2070: Introduction to Biotechnology,No Restriction,B06982b
374,Hong Kong Institute of Vocational Education,MEC4163 + MEC4122,MECH 2310: Thermodynamics,GD:B+,B06691a
375,Hong Kong Institute of Vocational Education,AEC3845,MECH 2410: Engineering Materials I,GD:85,B00730
376,Hong Kong Institute of Vocational Education,ENG3104 + ENG3105 + EIE4106,ELEC 2200: Digital Circuits and Systems,GD:A-,B03156
377,Hong Kong Institute of Vocational Education,ENG3104M + ENG3105 +EIE4106,ELEC 2200: Digital Circuits and Systems,GD:A-,B03156b
378,Hong Kong Institute of Vocational Education,SAS4204+SAS4205+SAS4202+SAS4203+SAS4206,LIFS 1904: Laboratory for General Biology II,No Restriction,B06983
379,Hong Kong Institute of Vocational Education,ASD4012,LIFS 1000LEVEL: 1000-level Course in Life Science,No Restriction,B02917a
380,Hong Kong Institute of Vocational Education,ASD4012+SAS4204,LIFS 2720: Biochemistry Laboratory LIFS 2820: Biochemical Laboratory Techniques,No Restriction,B13985
381,Hong Kong Institute of Vocational Education,ASD4012+SAS4204+SAS4209,LIFS 2210: Biochemistry I,No Restriction,B06985
382,Hong Kong Institute of Vocational Education,CON3402,CHEM 1004: Chemistry in Everyday Life,GD:B+,B14099a
383,Hong Kong Institute of Vocational Education,ITP4308,COMP S&N: Computer Science Track Course,GD:67,B02281
384,Hong Kong Institute of Vocational Education,ITP4318,COMP S&N: Computer Science Track Course,GD:B+,B02281a
385,Hong Kong Institute of Vocational Education,BUS3001,MGMT 2010: Business Ethics and the Individual,GD:B+,B13171
386,Hong Kong Institute of Vocational Education,SAS 4211,PHYS 1003: Energy and Related Environmental Issues,No Restriction,B11156
387,Hong Kong Institute of Vocational Education,SAS4206,LIFS 2240: Cell Biology Laboratory,No Restriction,B13984
388,Hong Kong Institute of Vocational Education,SAS4206+SAS4203,LIFS 2070: Introduction to Biotechnology,No Restriction,B06984a
389,Hong Kong Institute of Vocational Education,CEH1302+ CEH1308+ CEH1305,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD:60,B00551c
390,Hong Kong Institute of Vocational Education,CEH1302+ CEH3514+ CEH3527,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD:60,B00551d
391,Hong Kong Institute of Vocational Education,ASC1303+ ASC1310,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD:60,B00556b
392,Hong Kong Institute of Vocational Education,ASD3002 + ASD3006,CHEM 1010: General Chemistry IA CHEM 1030: General Chemistry II CHEM 1050: Laboratory for General Chemistry I CHEM 1055: Laboratory for General Chemistry II,GD:60,B00556a
393,Hong Kong Institute of Vocational Education,BUS3008,MGMT 2000LEVEL: 2000-level Course in Management,GD:B+,B13172
394,Hong Kong Institute of Vocational Education,SAS4106 + SAS4107,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:A-,B06964
395,Hong Kong Institute of Vocational Education,E&I3410 +E&I4414,ELEC 1010: Electronic and Information Technology,No Restriction,B02622
396,Hong Kong Institute of Vocational Education,ITP4306,COMP S&N: Computer Science Track Course,GD:67,B02279
397,Hong Kong Institute of Vocational Education,ENS3401,COMP 1001: Exploring Multimedia and Internet Computing,GD:67,B00286b
398,Hong Kong Institute of Vocational Education,E&I3612+ E&I4611,COMP S&N: Computer Science Track Course,GD:67,B00315d
399,Hong Kong Institute of Vocational Education,EIE3402S,COMP 1022P: Introduction to Computing with Java,GD:67,B02812a
400,Hong Kong Institute of Vocational Education,CON4371,CIVL 3210: Introduction to Construction Management,GD:B,B06412
401,Hong Kong Institute of Vocational Education,SAS4307,CHEM 1002: Introduction to Chemistry of Cosmetics,GD:A-,B06972
402,Hong Kong Institute of Vocational Education,E&I3613,COMP S&N: Computer Science Track Course,GD:67,B00315e
403,Hong Kong Institute of Vocational Education,EIE4101,ELEC 4120: Computer Communication Networks,GD:B+,B02815a
404,Hong Kong Institute of Vocational Education,EIE4400S,ELEC 4120: Computer Communication Networks,GD:B+,B02815
405,Hong Kong Institute of Vocational Education,ITP4903,COMP 3311: Database Management Systems,GD:B+,B02283
406,Hong Kong Institute of Vocational Education,ENG3105,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B02699
407,Hong Kong Institute of Vocational Education,SAS 3411+ SAS 3402,LIFS 2060: Biodiversity,No Restriction,B11155a
408,Hong Kong Institute of Vocational Education,SAS 3411+ SAS 3402,LIFS 3160: Ecology,No Restriction,B11155
409,Hong Kong Institute of Vocational Education,BUS3003,SOSC 1440: Introduction to Economics,GD:B,B13094
410,Hong Kong Institute of Vocational Education,MEC3055,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B02639b
411,Hong Kong Institute of Vocational Education,BSE4301,MECH 3630: Electrical Technology,GD:B+,B14087
412,Hong Kong Institute of Vocational Education,BAN4102,"ISOM 3000IS: 3000-level Course in Information Systems, Business Statistics and Operations Management",GD:B+,B13178
413,Hong Kong Institute of Vocational Education,ENG3107 + ENG3110,ELEC 2400: Electronic Circuits,GD:A-,B02398
414,Hong Kong Institute of Vocational Education,MEC3121,ELEC 1100: Introduction to Electro-Robot Design,No Restriction,B06628
415,Hong Kong Institute of Vocational Education,MEC3121 + MEC3122 + MEC4109 + MEC4107 + MEC4122,PHYS 1112: General Physics I with Calculus,No Restriction,B06626
416,Hong Kong Institute of Vocational Education,MET3401+ MET3405+ MET3409,PHYS 1111: General Physics I,GD:63,B00239c
417,Hong Kong Institute of Vocational Education,ENG3108 + MEC4701,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B06584
418,Hong Kong Institute of Vocational Education,ENG3108 + MEC4104 + MEC4110,CENG 1500: A First Course on Materials Science and Applications,No Restriction,B02637
419,Hong Kong Institute of Vocational Education,ENG3401S + ENG4401S,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02810
420,Hong Kong Institute of Vocational Education,ENG3200 + MEC4103,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02659a
421,Hong Kong Institute of Vocational Education,ENG3200 + CON4303 + CON4304,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02744
422,Hong Kong Institute of Vocational Education,CON3303 + CON4305,MATH 1013: Calculus IB (Aka: Calculus I),AD,B13445
423,Hong Kong Institute of Vocational Education,ENG3200 + ENG4200,MATH 1020: Accelerated Calculus,No Restriction,B02722
424,Hong Kong Institute of Vocational Education,ENG3200 + MEC4706,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B06581
425,Hong Kong Institute of Vocational Education,ENG3200 + ENG4202,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02394
426,Hong Kong Institute of Vocational Education,ENG3200 + CON4305,MATH 1013: Calculus IB (Aka: Calculus I),No Restriction,B02394d
427,Hong Kong Institute of Vocational Education,ENG3109 + MEC3055,MECH 2020: Statics and Dynamics,GD:B+,B06582
428,Hong Kong Institute of Vocational Education,ENG3732,PHYS 1112: General Physics I with Calculus,GD:63,B00373b
429,Hong Kong Institute of Vocational Education,ENG3102 + ENG3103 +ENG3109,PHYS 1111: General Physics I,No Restriction,B02553c
430,Hong Kong Institute of Vocational Education,ENG3102 + ENG3103 + MEC4101,PHYS 1111: General Physics I,GD:B,B02553a
431,Hong Kong Institute of Vocational Education,ENG3102 + MEC4101 + MEC4109,PHYS 1111: General Physics I,GD:B,B02424a
432,Hong Kong Institute of Vocational Education,ASC3878,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B02592a
433,Hong Kong Institute of Vocational Education,CEH3523,CHEM 2310: Fundamentals of Analytical Chemistry,No Restriction,B00632c
434,Hong Kong Institute of Vocational Education,SAS4416,CHEM 2310: Fundamentals of Analytical Chemistry,No Restriction,B00632b
435,Hong Kong Institute of Vocational Education,CON4451,CENG 4720: Environmental Impact Assessment and Management Systems,No Restriction,B07442
436,Hong Kong Institute of Vocational Education,CON4451,CIVL 4000LEVEL: 4000-level Course in Civil and Environmental Engineering,No Restriction,B07442b
437,Hong Kong Institute of Vocational Education,CON4403+CON4433,LIFS 1030: Environmental Science,GD:B,B14359
438,Hong Kong Institute of Vocational Education,CON4403+CON4411+CON4412+CON4413+CON4433,LIFS 1030: Environmental Science,No Restriction,B07439
439,Hong Kong Institute of Vocational Education,SAS 4442+ SAS 4458,ENVS 3001: Pollution Monitoring and Measurement,Expired,B11154
440,Hong Kong Institute of Vocational Education,SAS4442+ SAS4459,ENVS 4001: Environmental Impact and Risk Assessment,Expired,B11144a
441,Hong Kong Institute of Vocational Education,CON4432,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B08307a
442,Hong Kong Institute of Vocational Education,ASC3876 + ASC3881,ENVR 2010: Environmental Science Fundamentals,No Restriction,B02593
443,Hong Kong Institute of Vocational Education,ASD3001+ASD3002,CHEM 1010: General Chemistry IA,GD:A-,B02784c
444,Hong Kong Institute of Vocational Education,ASD3001,CHEM 1010: General Chemistry IA,No Restriction,B02784a
445,Hong Kong Institute of Vocational Education,MEC4102,MECH 2210: Fluid Mechanics (Previous code MECH3210 ),No Restriction,B02657a
446,Hong Kong Institute of Vocational Education,ASD3008,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:75,B00559b
447,Hong Kong Institute of Vocational Education,ASD3008+SAS4018,CHEM 2310: Fundamentals of Analytical Chemistry,GD:A-,B06994a
448,Hong Kong Institute of Vocational Education,MEC3123,ELEC 2420: Basic Electronics,GD:A-,B11374a
449,Hong Kong Institute of Vocational Education,MEC3123 + MEC3122 + MEC4109 + MEC4107 + MEC4122,PHYS 1112: General Physics I with Calculus,No Restriction,B06626b
450,Hong Kong Institute of Vocational Education,MEC3122 + MEC4109 + MEC4107 + MEC4122,PHYS 1112: General Physics I with Calculus,No Restriction,B06626a
451,Hong Kong Institute of Vocational Education,MEC3122 + MEC4122 + MEC4109 + MEC4163,PHYS 1111: General Physics I,No Restriction,B06715
452,Hong Kong Institute of Vocational Education,MEC3122 + MEC4122 + MEC4109 + MEC4163+MEC3123,PHYS 1112: General Physics I with Calculus,No Restriction,B06626c
453,Hong Kong Institute of Vocational Education,MEC4406 + MEC4411,MECH 3660: Gas Turbines and Jet Propulsion (Aka: Propulsion and Energy),GD:B+,B11436
454,Hong Kong Institute of Vocational Education,SAS3404,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B11146a
455,Hong Kong Institute of Vocational Education,SAS4311,CENG 1700: Introduction to Environmental Engineering,No Restriction,B02919
456,Hong Kong Institute of Vocational Education,ASD3003,LIFS 1902: General Biology II,No Restriction,B02785
457,Hong Kong Institute of Vocational Education,MGT4207,MGMT 3110: Human Resources Management,GD:B+,B13185
458,Hong Kong Institute of Vocational Education,BSE4202 + BSE4403,MECH 4340: Air Conditioning Systems,GD:B+,B14088
459,Hong Kong Institute of Vocational Education,CEH3513,COMP 1001: Exploring Multimedia and Internet Computing,GD:67,B00634a
460,Hong Kong Institute of Vocational Education,ITE3004,COMP 1022Q: Introduction to Computing with Excel VBA,GD:B+,B02914
461,Hong Kong Institute of Vocational Education,ITE3001,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B02396a
462,Hong Kong Institute of Vocational Education,ITE3001,ISOM 2010: Introduction to Information Systems,GD:B+,B13174
463,Hong Kong Institute of Vocational Education,ITE3002,COMP 1001: Exploring Multimedia and Internet Computing,GD:B+,B02271
464,Hong Kong Institute of Vocational Education,ENG3738,COMP 1002: Computer and Programming Fundamentals I,GD:67,B00366b
465,Hong Kong Institute of Vocational Education,MET3407,COMP 1002: Computer and Programming Fundamentals I,GD:67,B00235a
466,Hong Kong Institute of Vocational Education,CON4414,MECH 3000LEVEL: 3000-level Course in Mechanical Engineering,No Restriction,B07444b
467,Hong Kong Institute of Vocational Education,CON4414+ CON4472,ENVR 2000LEVEL: 2000-level Course in Environment,No Restriction,B07444a
468,Hong Kong Institute of Vocational Education,ASC3442,CHEM 2210: Inorganic Chemistry I CHEM 2250: Inorganic Chemistry Laboratory,GD:75,B00557a
469,Hong Kong Institute of Vocational Education,SAS3015,CHEM 2210: Inorganic Chemistry I CHEM 2250: Inorganic Chemistry Laboratory,GD:A-,B06454
470,Hong Kong Institute of Vocational Education,SAS4306,CHEM 2310: Fundamentals of Analytical Chemistry CHEM 2350: Analytical Chemistry Laboratory,GD:A-,B06975
471,Hong Kong Institute of Vocational Education,CEH3407,COMP 1001: Exploring Multimedia and Internet Computing,GD:67,B00547a
472,Hong Kong Institute of Vocational Education,EIE4206,COMP 4631: Computer and Communication Security,GD:B+,B10992
473,Hong Kong Institute of Vocational Education,CON4351 + CON4433 + CON4381 + CON2391,CIVL 1100: Discovering Civil and Environmental Engineering,GD:B/P,B02973a
474,Hong Kong Institute of Vocational Education,CON4351+ CON4433,LIFS 1030: Environmental Science,No Restriction,B06414a
475,Hong Kong Institute of Vocational Education,EMT1300,COMP 1021: Introduction to Computer Science,GD:67,B00747a
